Question,Llama3-7B,ChatGPT,Mistral-8x7B,IBM Granite
AIF,FALSE,TRUE,TRUE,
AIFM,TRUE,TRUE,TRUE,
AIFMD,TRUE,TRUE,TRUE,
CCP,TRUE,TRUE,TRUE,
CSD,TRUE,TRUE,TRUE,
CICI,FALSE,TRUE,FALSE,
CT,FALSE,FALSE,FALSE,
EMIR,TRUE,TRUE,TRUE,
ESMA,TRUE,TRUE,TRUE,
ETD,TRUE,FALSE,TRUE,
FC,FALSE,FALSE,FALSE,
FC+,FALSE,FALSE,FALSE,
FX,TRUE,TRUE,TRUE,
ITS,FALSE,FALSE,FALSE,
ITS on reporting to TR,FALSE,FALSE,FALSE,
MiFID,TRUE,TRUE,TRUE,
MTF,TRUE,TRUE,TRUE,
NCA,FALSE,FALSE,1/4 correct Answers,
NFC,FALSE,FALSE,FALSE,
NFC+,TRUE,FALSE,FALSE,
NFC-,FALSE,FALSE,FALSE,
OTC,TRUE,TRUE,TRUE,
Q&A,FALSE,TRUE,TRUE,
RTS,1/4 correct Answers,FALSE,TRUE,
RTS on OTC Derivatives,FALSE,FALSE,1/4 correct Answers,
RTS on CCP,FALSE,FALSE,FALSE,
RTS on Third Country contracts,FALSE,FALSE,1/4 correct Answers,
RTS on IRS in G4 currencies,FALSE,FALSE,FALSE,
SPV,TRUE,TRUE,TRUE,
TR,1/4 correct Answers,FALSE,FALSE,
UTI,1/4 correct Answers,TRUE,FALSE,
EMIR,TRUE,,,
SFTR,TRUE,,,
RTS on reporting,TRUE,,,
ITS on reporting,TRUE,,,
RTS on registration,FALSE,,,
RTS on data quality,TRUE,,,
RTS on data access,FALSE,,,
RTS on organisation requirements,TRUE,,,
CFI code,TRUE,,,
CM,FALSE,,,
CP,TRUE,,,
CP on RTS/ITS,TRUE,,,
FR on RTS/ITS,TRUE,,,
CPMI,TRUE,,,
EC,TRUE,,,
ECB,TRUE,,,
EEA,TRUE,,,
ERR,FALSE,,,
ESCB,TRUE,,,
EU,TRUE,,,
FIRDS,TRUE,,,
FSB,TRUE,,,
IOSCO,TRUE,,,
ISIN,TRUE,,,
LEI,TRUE,,,
ISO,TRUE,,,
MIC,TRUE,,,
NCA,TRUE,,,
OJ,FALSE,,,
RSE,FALSE,,,
SWIFT,TRUE,,,
TR,TRUE,,,
UTI,TRUE,,,
XML,TRUE,,,
XSD,TRUE,,,
ESRB,TRUE,,,
UCITS,TRUE,,,
EBA,TRUE,,,
EIOPA,TRUE,,,
TFEU,TRUE,,,
IORP,TRUE,,,
AIF,TRUE,,,
AIFM,TRUE,,,
AIFMD,TRUE,,,
CCP,TRUE,,,
CSD,TRUE,,,
CICI,FALSE,,,
CT,FALSE,,,
EMIR,TRUE,,,
ESMA,TRUE,,,
ETD,TRUE,,,
FC,TRUE,,,
FC+,FALSE,,,
FX,TRUE,,,
MiFID,TRUE,,,
MTF,TRUE,,,
NCA,TRUE,,,
NFC,TRUE,,,
NFC+,TRUE,,,
NFC-,TRUE,,,
OTC,TRUE,,,
Q&A,TRUE,,,
RTS,TRUE,,,
SPV,TRUE,,,
TR,TRUE,,,
UTI,TRUE,,,
DORA,TRUE,,,
ESA,TRUE,,,
TPP,TRUE,,,
TPRM,TRUE,,,
CSP,TRUE,,,
CTPPs,FALSE,,,
JOF,TRUE,,,
NIS2,FALSE,,,
PSD2,TRUE,,,
CSIRTs,FALSE,,,
ENISA,TRUE,,,
PSTN,TRUE,,,
POTS,TRUE,,,
TLPT,FALSE,,,
G-SIIs,TRUE,,,
O-SIIs,TRUE,,,
BIA,TRUE,,,
JON,FALSE,,,
EGBPI,FALSE,,,
RSB,FALSE,,,
SFD,FALSE,,,
MFF,TRUE,,,
OLAF,TRUE,,,
CIISI-EU,FALSE,,,
CSIRTS,FALSE,,,
T2S,TRUE,,,
TIPS,TRUE,,,
FMIs,TRUE,,,
SSM,TRUE,,,
TIBER-EU,TRUE,,,
TCT,FALSE,,,
DOI,FALSE,,,
DG AGRI,TRUE,,,
EGTOP,FALSE,,,
SCA,FALSE,,,
INSEE,TRUE,,,
RRF,TRUE,,,
SDGs,TRUE,,,
RP,TRUE,,,
EMU,TRUE,,,
CSOs,TRUE,,,
NRRPs,TRUE,,,
OCS,FALSE,,,
EPPO,TRUE,,,
CPSR,FALSE,,,
DCMA,FALSE,,,
ACO,FALSE,,,
CAR,FALSE,,,
CAP,FALSE,,,
