Laws,GPT4,GPT4o,GPT3,Mistral,Llama3 1-Shot,Llama3 0-Shot
(EU) No 648/2012,,,,,,
(EU) No 1247/2012,,TRUE,,,,
(EU) No 1248/2012,,,,,,
(EU) No 1249/2012,,,,,,
(EU) No 148/2013,,,,,,
(EU) No 149/2013,,,,,,
(EU) No 150/2013,,,,,,
(EU) No 151/2013,,,,,,
(EU) No 152/2013,,,,,,
(EU) No 153/2013,,,,,,
(EU) No 2017/2155,,,,,,
(EU) 2019/834,,,,,,
Article 29(2) of the ESMA Regulation,,,,,,
Article 16 of the ESMA Regulation,,,,,,
(EU) No 1095/2010,,,,,,
(EU) No 2015/2205,,,,,,
(EU) No 285/2014,,,,,,
(EU) No 1247/2012,,,,,,
(EU) 648/2012,,,,,,
Directive 2011/61/EU,,,,,,
4a and 10 of EMIR,,,,,,
11 of EMIR,,,,,,
12 of the RTS on OTC derivatives,,,,,,
"3, 4(2), 11(6) to 11(10) of EMIR",,,,,,
6 of EMIR,,,,,,
12(4) of the RTS on OTC derivatives,,,,,,
14 of the RTS on OTC derivatives,,,,,,
13 of the RTS on OTC derivatives,,,,,,
15 of the RTS on OTC derivatives,,,,,,
2(10) and 89 of EMIR,,,,,,
Article 4(1)(b)(ii) of EMIR,,,,,,
Article 4(4) of EMIR and Article 2 RTS on OTC derivatives,,,,,,
Article 4(2)(b) of RTS 2017/2155 amending RTS 149/2013,,,,,,
1 of EMIR,,,,,,
4 of EMIR,,,,,,
Art 2.1 of RTS on Third Country contracts,,,,,,
2 of RTS on Third Country contracts,,,,,,
2 of RTS on IRS in G4 currencies,,,,,,
18 of EMIR,,,,,,
46 of EMIR,,,,,,
47 of EMIR,,,,,,
48 of EMIR,,,,,,
49 of EMIR ,,,,,,
14 of EMIR,,,,,,
16 of EMIR,,,,,,
39 of EMIR,,,,,,
"41 of EMIR
27(3) of RTS on CCP requirements",,,,,,
14 of EMIR 11(1) of RTS on CCP requirements,,,,,,
42 of EMIR,,,,,,
26 of EMIR,,,,,,
2 of EMIR,,,,,,
35 of RTS on CCP requirement,,,,,,
38 of EMIR,,,,,,
43(3) and 48(2) of EMIR,,,,,,
45(4) of EMIR,,,,,,
1 of EMIR,,,,,,
28 of EMIR,,,,,,
Guideline and Recommendation 3(b)(v),,,,,,
46 of EMIR and 37 of RTS on CCP requirements,,,,,,
2 of EMIR,,,,,,
1 of EMIR,,,,,,
56 of EMIR,,,,,,
9 of EMIR,,,,,,
5 of the ITS on reporting to TR,,,,,,
81 of EMIR,,,,,,
Article 9(1) of EMIR,,,,,,
Articles 9(1b) to (1d) EMIR,,,,,,
Article 4(9) of MiFID,,,,,,
European Commission FAQ no. 14,,,,,,
Article 4(3) of EMIR,,,,,,
Article 61(3) of AIFMD,,,,,,
Article 61(4) of AIFMD,,,,,,
Article 2(3)(g) of AIFMD,,,,,,
Article 2(8) of EMIR,,,,,,
Directive 2011/61/EU,,,,,,
Article 2(8) of EMIR,,,,,,
Article 42 of the AIFMD,,,,,,
Article 3(2) of the AIFMD,,,,,,
Article 4(1)(14) of Directive 2004/39/EC,,,,,,
Article 19(6) of Directive 2004/39/EC,,,,,,
Article 2a of EMIR,,,,,,
Article 10 of EMIR,,,,,,
Article 2(7) of EMIR,,,,,,
Article 4a(2) and Article10(2) for FCs and NFCs,,,,,,
Article 4a(3) and Article 10(3) of EMIR,,,,,,
Directive 2006/48/EC,,,,,,
Directive 2006/49/EC,,,,,,
Directive 83/349/EEC,,,,,,
Stopped at page 22 on ESMA pdf,,,,,,
Overall,#DIV/0!,1.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
