Benchmark,Datasets,Acronyms,Definitions ,NER,Link Retrieval
ChatGPT4,ESMA,69.57%,90.00%,,
ChatGPT4o,ESMA,78.26%,96.00%,,
ChatGPT3.5,ESMA,53.91%,32.00%,,
Llama3-7B 1-shot,ESMA,74.78%,54.00%,,
Llama3-7B 0-shot,ESMA,61.74%,38.00%,,
Mistral-8x7B,ESMA,66.09%,66.00%,,
,,Technique: RAG,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Metrics: ,F1 Score,,,,
,Accuracy in percentage,,,,
,,,,,
,,,,,
,,,,,https://www.esma.europa.eu/sites/default/files/library/esma70-1861941480-52_qa_on_emir_implementation.pdf
Models:,ChatGPT,,,,"https://www.investopedia.com/terms/i/incomestatement.asp#:~:text=An%20income%20statement%20is%20one%20of%20the%20three,losses%20of%20a%20company%20during%20a%20particular%20period"
,GPT-4o,,,,
,Llama3-7B,,,,
,Mistral-8x7B,,,,
,IBM Granite,,,,
Prompt,What is ____ in finance and buisness?,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Other ideas:,Lineage Consistency,Numerical Reasoning,Multilingual (later task),Sentiment Tasks (Good/Bad),NER (Name Entity Recognition)
